accession	collected_by	collection_date	country	identified_by	lat_lon	scientific_name	sequence_length	specimen_voucher	trace_count
JQ175914		21-Feb-2001	Myanmar: Kachin		28.044 N 97.57 E	Pnoepyga pusilla	652	USNM:Birds:631838	2
JQ175913		28-Apr-1995	Myanmar: Chin			Pnoepyga albiventer	652	USNM:Birds:620629	2
JQ175912		27-Apr-1995	Myanmar: Chin			Pnoepyga albiventer	652	USNM:Birds:620614	2
JQ175911		10-Oct-2002	Gabon: Ogooue-Maritime		2.343 S 9.596 E	Ploceus nigricollis	652	USNM:Birds:630900	2
JQ175910		06-Oct-2002	Gabon: Ogooue-Maritime		2.343 S 9.592 E	Ploceus nigricollis	652	USNM:Birds:630871	2
JQ175909		12-Oct-2002	Gabon: Ogooue-Maritime		2.343 S 9.596 E	Ploceus nigricollis	652	USNM:Birds:627700	2
JQ175908		10-Oct-2002	Gabon: Ogooue-Maritime		2.343 S 9.596 E	Ploceus nigerrimus	652	USNM:Birds:630901	2
JQ175907		11-Oct-2002	Gabon: Ogooue-Maritime		2.343 S 9.596 E	Ploceus nigerrimus	652	USNM:Birds:630914	2
JQ175906		11-Mar-2006	Gabon: Ogooue-Maritime		1.936 S 9.881 E	Dyaphorophyia tonsa	651	USNM:Birds:616715	2
JQ175897		22-Mar-1999	Guyana		1.583 N 58.633 W	Platyrinchus platyrhynchos	652	USNM:Birds:625610	2
JQ175896		15-Aug-1986	Brazil: Para		3.65 S 52.367 W	Platyrinchus platyrhynchos	652	USNM:Birds:562367	2
JQ175895		12-Aug-2006	Guyana: Upper Takutu-Upper Essequibo		2.971 N 58.594 W	Platyrinchus platyrhynchos	652	USNM:Birds:637217	2
JQ175894		13-Mar-1987	Panama: Bocas Del Toro			Platyrinchus cancrominus	652	USNM:Birds:605371	2
JQ175893		26-Feb-1988	Panama: Bocas Del Toro			Platyrinchus cancrominus	652	USNM:Birds:606330	2
JQ175892		08-Apr-1990	Panama: Bocas Del Toro			Platyrinchus cancrominus	618	USNM:Birds:607838	2
JQ175891		26-Jul-2004	Guyana		4.965 N 59.914 W	Turdus flavipes	652	USNM:Birds:632762	2
JQ175890		24-Jul-2004	Guyana		4.965 N 59.914 W	Turdus flavipes	652	USNM:Birds:632756	2
JQ175889		11-May-1988	Australia: New South Wales			Platycercus eximius	652	USNM:Birds:542176	2
JQ175888		23-Nov-1988	Australia: New South Wales			Platycercus elegans	652	USNM:Birds:612685	2
JQ175887		11-May-1988	Australia: New South Wales			Platycercus elegans	649	USNM:Birds:542175	2
JQ175886		27-Jun-1989	Australia: Queensland			Platycercus adscitus	652	USNM:Birds:612686	2
JQ175694		04-Feb-1989	Panama: Bocas Del Toro			Patagioenas nigrirostris	652	USNM:Birds:612277	2
JQ175693		04-Feb-1989	Panama: Bocas Del Toro			Patagioenas nigrirostris	652	USNM:Birds:606733	2
JQ175692		03-Sep-2002	Uruguay: Soriano		33.783 S 57.333 W	Patagioenas maculosa	629	USNM:Birds:630359	2
JQ175691		07-Nov-2005	Uruguay: Artigas			Patagioenas maculosa	652	USNM:Birds:635982	2
JQ175690		30-Mar-1990	Panama: Bocas Del Toro			Patagioenas leucocephala	652	USNM:Birds:613363	2
JQ175689		30-Mar-1990	Panama: Bocas Del Toro			Patagioenas leucocephala	652	USNM:Birds:607651	2
JQ175688		24-Jun-1988	Puerto Rico			Patagioenas inornata	652	USNM:Birds:582879	2
JQ175687		15-Mar-2000	Guyana		6.567 N 58.083 W	Patagioenas cayennensis	652	USNM:Birds:622319	2
JQ175686		05-Feb-2001	Guyana		5.20 N 57.283 W	Patagioenas cayennensis	639	USNM:Birds:627051	2
JQ175665		04-May-1990	Panama: Chiriqui			Panterpe insignis	652	USNM:Birds:613296	2
JQ175664		26-Oct-2005	Uruguay: Rocha		33.742 S 53.746 W	Pachyramphus viridis	652	USNM:Birds:635932	2
JQ175661		24-Mar-1999	Guyana		1.65 N 58.617 W	Pachyramphus rufus	652	USNM:Birds:616553	2
JQ175660		11-Dec-2000	Guyana		6.80 N 58.483 W	Pachyramphus rufus	652	USNM:Birds:626694	2
JQ175658		22-Feb-1988	Panama: Bocas Del Toro			Pachyramphus polychopterus	652	USNM:Birds:606234	2
JQ175657		15-Aug-2006	Guyana: Upper Takutu-Upper Essequibo		2.971 N 58.594 W	Pachyramphus minor	652	USNM:Birds:637137	2
JQ175655		05-Dec-2004	Guyana		6.40 N 58.767 W	Pachyramphus minor	652	USNM:Birds:627125	2
JQ175654		21-Sep-1997	Guyana: Northwest District		7.367 N 60.483 W	Pachyramphus marginatus	652	USNM:Birds:586433	2
JQ175653		24-Feb-1999	Guyana		6.023 N 58.20 W	Pachyramphus marginatus	652	USNM:Birds:625550	2
JQ175652		12-Feb-2001	Guyana		5.20 N 57.283 W	Pachyramphus marginatus	639	USNM:Birds:626761	2
JQ175650		29-Apr-1989	Philippines: Luzon		17.917 N 122.033 E	Pachycephala philippinensis	649	USNM:Birds:607511	2
JQ175643		09-Nov-2000	Guyana		2.817 N 59.817 W	Oryzoborus crassirostris	649	USNM:Birds:616784	2
JQ175642		04-Nov-2000	Guyana		2.817 N 59.817 W	Oryzoborus crassirostris	641	USNM:Birds:627489	2
JQ175641		08-Apr-2001	Guyana		5.267 N 60.733 W	Oryzoborus angolensis	652	USNM:Birds:626824	2
JQ175640		05-Dec-1994	Myanmar: Sagaing			Orthotomus sutorius	652	USNM:Birds:620419	2
JQ175639		29-Nov-1997	Myanmar: Sagaing			Orthotomus sutorius	652	USNM:Birds:586584	2
JQ175638		01-Dec-1997	Myanmar: Sagaing			Orthotomus sutorius	652	USNM:Birds:616429	2
JQ175637		28-Feb-2001	Myanmar: Kachin		28.044 N 97.57 E	Orthotomus cucullatus	652	USNM:Birds:631854	2
JQ175636		28-Apr-1989	Philippines: Luzon		17.917 N 122.033 E	Orthotomus atrogularis	648	USNM:Birds:607481	2
JQ175635		28-Apr-1989	Philippines: Luzon		17.917 N 122.033 E	Orthotomus atrogularis	648	USNM:Birds:607480	2
JQ175634		06-May-1989	Philippines: Luzon		17.85 N 121.983 E	Orthotomus atrogularis	648	USNM:Birds:607476	2
JQ175633		28-Jul-1989	Saint Vincent and the Grenadines: St. Andrew Parish			Orthorhyncus cristatus	652	USNM:Birds:612557	2
JQ175632		07-Aug-1989	Saint Vincent and the Grenadines: St. George Parish			Orthorhyncus cristatus	652	USNM:Birds:612556	2
JQ175631		01-Mar-1999	Guyana		1.65 N 58.617 W	Orthopsittaca manilata	652	USNM:Birds:625357	2
JQ175439		06-Apr-2001	Guyana		5.267 N 60.733 W	Myioborus miniatus	652	USNM:Birds:626924	2
JQ175438		07-Apr-2001	Guyana		5.267 N 60.733 W	Myioborus brunniceps	652	USNM:Birds:626863	2
JQ175437		05-May-1990	Panama: Chiriqui			Myiobius sulphureipygius	652	USNM:Birds:607592	2
JQ175436		09-May-1990	Panama: Chiriqui			Myiobius sulphureipygius	645	USNM:Birds:542846	2
JQ175435		21-Feb-1989	Panama: Bocas Del Toro			Myiobius atricaudus	652	USNM:Birds:612408	2
JQ175433		16-Jul-2004	Guyana		4.933 N 59.883 W	Myiarchus ferox	652	USNM:Birds:632628	2
JQ175432		11-Dec-2000	Guyana		6.80 N 58.483 W	Myiarchus ferox	652	USNM:Birds:627757	2
JQ175430		16-Jan-1994	Papua New Guinea: New Ireland		4.50 S 152.933 E	Myiagra hebetior	652	USNM:Birds:616050	2
JQ175429		16-Jan-1994	Papua New Guinea: New Ireland		4.50 S 152.933 E	Myiagra hebetior	652	USNM:Birds:615034	2
JQ175428		16-Jan-1994	Papua New Guinea: New Ireland		4.50 S 152.933 E	Myiagra hebetior	652	USNM:Birds:608684	2
JQ175410		06-Nov-2000	Guyana		2.817 N 59.817 W	Monasa atra	651	USNM:Birds:627398	2
JQ175409		05-Dec-2004	Guyana		6.40 N 58.767 W	Monasa atra	652	USNM:Birds:627072	2
JQ175408		16-Jan-1994	Papua New Guinea: New Ireland		4.50 S 152.933 E	Symposiachrus verticalis	652	USNM:Birds:615038	2
JQ175407		16-Jan-1994	Papua New Guinea: New Ireland		4.50 S 152.933 E	Symposiachrus verticalis	652	USNM:Birds:615037	2
JQ175406		10-Feb-1994	Papua New Guinea: New Ireland		4.55 S 152.95 E	Carterornis chrysomela	652	USNM:Birds:615040	2
JQ175405		19-Sep-2002	Uruguay: Colonia		33.887 S 58.184 W	Molothrus rufoaxillaris	652	USNM:Birds:630341	2
JQ175404		17-Sep-2002	Uruguay: Colonia		33.913 S 58.106 W	Molothrus rufoaxillaris	652	USNM:Birds:630214	2
JQ175403		24-Mar-1999	Guyana		1.65 N 58.617 W	Molothrus oryzivorus	652	USNM:Birds:587829	2
JQ175402		24-Mar-1999	Guyana		1.65 N 58.617 W	Molothrus oryzivorus	651	USNM:Birds:625747	2
JQ175401		15-Feb-1989	Panama: Bocas Del Toro		9.233 N 82.267 W	Molothrus oryzivorus	652	USNM:Birds:612444	2
JQ175400		24-Aug-2006	Guyana: Upper Takutu-Upper Essequibo		3.58 N 58.663 W	Mitu tomentosum	652	USNM:Birds:637177	2
JQ175399		22-Aug-2006	Guyana: Upper Takutu-Upper Essequibo		2.971 N 58.594 W	Mitu tomentosum	652	USNM:Birds:637254	2
JQ175398		22-Aug-2006	Guyana: Upper Takutu-Upper Essequibo		2.971 N 58.594 W	Mitu tomentosum	621	USNM:Birds:637167	2
JQ175397		07-Mar-1991	Panama: Bocas Del Toro			Mitrospingus cassinii	652	USNM:Birds:608230	2
JQ175390		01-Jan-2001	Panama: Chiriqui			Mionectes olivaceus	645	USNM:Birds:542845	2
JQ175389		28-Jun-1998	USA: Virginia			Mimus polyglottos	652	USNM:Birds:600801	2
JQ175388		05-Oct-2000	Guyana		6.30 N 58.217 W	Mimus gilvus	652	USNM:Birds:625904	2
JQ175386		10-Dec-2000	Guyana		6.30 N 58.217 W	Mimus gilvus	634	USNM:Birds:627126	2
JQ175385		07-May-2002	Northern Mariana Islands		16.337 N 145.664 E	Milvus migrans	651	USNM:Birds:601887	2
JQ175384		18-Dec-2002	Pakistan		28.282 N 66.451 E	Milvus migrans	651	USNM:Birds:623327	2
JQ175383		28-Oct-2005	Uruguay: Rocha		33.23 S 53.72 W	Milvago chimango	652	USNM:Birds:635742	2
JQ175382		06-Nov-2005	Uruguay: Artigas		30.132 S 57.038 W	Milvago chimango	652	USNM:Birds:635870	2
JQ175381		25-Feb-1992	Argentina: Buenos Aires			Milvago chimango	652	USNM:Birds:614585	2
JQ175380		07-Nov-2005	Uruguay: Artigas			Milvago chimango	652	USNM:Birds:635768	2
JQ175378		23-Feb-1988	Panama: Bocas Del Toro			Microrhopias quixensis	652	USNM:Birds:606233	2
JQ175377		18-Apr-1990	Panama: Bocas Del Toro			Microrhopias quixensis	645	USNM:Birds:607754	2
JQ175186		25-Sep-1986	Brazil: Para		3.65 S 52.367 W	Knipolegus orenocensis	652	USNM:Birds:562356	2
JQ175185		13-Sep-2002	Uruguay: Tacuarembo		31.299 S 56.029 W	Knipolegus lophotes	652	USNM:Birds:630417	2
JQ175183		04-Nov-2005	Uruguay: Artigas		30.81 S 56.096 W	Knipolegus lophotes	652	USNM:Birds:635861	2
JQ175182		13-Sep-2002	Uruguay: Tacuarembo		31.309 S 56.038 W	Knipolegus cyanirostris	652	USNM:Birds:630514	2
JQ175181		31-Oct-2005	Uruguay: Rivera		31.761 S 54.555 W	Knipolegus cyanirostris	652	USNM:Birds:636110	2
JQ175180		04-Feb-1989	Panama: Bocas Del Toro			Jacana spinosa	652	USNM:Birds:606725	2
JQ175179		09-Mar-1991	Panama: Bocas Del Toro			Jacana spinosa	652	USNM:Birds:613969	2
JQ175176		11-Aug-2006	Guyana: Upper Takutu-Upper Essequibo		2.971 N 58.594 W	Jacamerops aureus	652	USNM:Birds:637205	2
JQ175175		20-Sep-1986	Brazil: Para		3.65 S 52.367 W	Jacamerops aureus	652	USNM:Birds:541357	2
JQ175174		14-Apr-2000	Guyana		2.867 N 59.267 W	Jabiru mycteria	652	USNM:Birds:622295	2
JQ175173		19-Apr-1995	Myanmar: Chin			Ixos mcclellandii	652	USNM:Birds:620558	2
JQ175155		30-Sep-2002	Gabon: Ogooue-Maritime		2.34 S 9.598 E	Indicator maculatus	652	USNM:Birds:630811	2
JQ175154		11-Oct-2002	Gabon: Ogooue-Maritime		2.343 S 9.596 E	Indicator exilis	652	USNM:Birds:630916	2
JQ175152		13-Apr-2007	Gabon: Ogooue-Maritime		2.587 S 10.234 E	Illadopsis rufipennis	652	USNM:Birds:631619	2
JQ175151		01-Apr-2007	Gabon: Ogooue-Maritime		2.587 S 10.234 E	Illadopsis rufipennis	652	USNM:Birds:631542	2
JQ175150		01-Apr-2007	Gabon: Ogooue-Maritime		2.587 S 10.234 E	Illadopsis cleaveri	652	USNM:Birds:631532	2
JQ175149		01-Apr-2007	Gabon: Ogooue-Maritime		2.587 S 10.234 E	Illadopsis cleaveri	652	USNM:Birds:631543	2
JQ175147		07-Apr-1990	Panama: Bocas Del Toro			Ictinia plumbea	646	USNM:Birds:607638	2
JQ175146		20-Oct-2000	Guyana		6.683 N 57.933 W	Icterus nigrogularis	647	USNM:Birds:627377	2
JQ175145		26-Nov-2004	Guyana		6.517 N 57.733 W	Icterus nigrogularis	652	USNM:Birds:627066	2
JQ175144		17-Oct-2000	Guyana		6.517 N 57.733 W	Icterus nigrogularis	649	USNM:Birds:627455	2
JQ175143		13-Feb-1989	Panama: Bocas Del Toro			Icterus mesomelas	652	USNM:Birds:607085	2
JQ175142		18-Apr-1990	Panama: Bocas Del Toro			Icterus mesomelas	652	USNM:Birds:608015	2
JQ175134		31-May-2001	USA: Virginia		36.629 N 83.088 W	Icteria virens	652	USNM:Birds:633928	2
JQ175133		19-Jul-2004	Guyana		4.933 N 59.883 W	Daptrius americanus	652	USNM:Birds:632550	2
JQ175131		25-Mar-2001	Guyana		5.283 N 60.75 W	Daptrius americanus	642	USNM:Birds:626781	2
JQ175130		16-Sep-1986	Brazil: Para		3.65 S 52.367 W	Daptrius americanus	652	USNM:Birds:541311	2
JQ175129		10-May-1989	Philippines: Luzon		17.85 N 121.983 E	Ixos philippinus	648	USNM:Birds:607421	2
JQ175128		30-Apr-1989	Philippines: Luzon		17.917 N 122.033 E	Ixos philippinus	620	USNM:Birds:607417	2
JQ175127		05-May-1989	Philippines: Luzon		17.85 N 121.983 E	Ixos philippinus	648	USNM:Birds:607426	2
JQ175126		15-Apr-1995	Myanmar: Chin			Hypsipetes madagascariensis	652	USNM:Birds:620522	2
JQ175125		07-May-1989	Philippines: Luzon		17.833 N 122.017 E	Hypothymis helenae	652	USNM:Birds:607489	2
JQ175124		21-Nov-1994	Myanmar: Pegu			Hypothymis azurea	652	USNM:Birds:620290	2
JQ175123		05-Dec-1994	Myanmar: Sagaing			Hypothymis azurea	652	USNM:Birds:620437	2
JQ175122		28-Apr-1989	Philippines: Luzon		17.917 N 122.033 E	Hypothymis azurea	619	USNM:Birds:607502	2
JQ175121		28-Nov-1997	Myanmar: Sagaing			Hypothymis azurea	652	USNM:Birds:616431	2
JQ174930		07-Oct-1995	Argentina: Tucuman		26.738 S 65.768 W	Geositta tenuirostris	652	USNM:Birds:609497	2
JQ174929		25-Oct-2005	Uruguay: Rocha		33.80 S 53.433 W	Geositta cunicularia	652	USNM:Birds:635809	2
JQ174928		17-Nov-1988	Australia: New South Wales			Ocyphaps lophotes	652	USNM:Birds:612635	2
JQ174927		17-Nov-1988	Australia: New South Wales			Ocyphaps lophotes	652	USNM:Birds:612634	2
JQ174926		18-Apr-1995	Myanmar: Chin			Garrulax virgatus	652	USNM:Birds:620536	2
JQ174925		25-Feb-2001	Myanmar: Kachin		28.168 N 97.68 E	Garrulax subunicolor	652	USNM:Birds:631851	2
JQ174924		18-Feb-2001	Myanmar: Kachin		27.832 N 97.763 E	Garrulax striatus	652	USNM:Birds:631831	2
JQ174922		01-Dec-1994	Myanmar: Sagaing			Garrulax pectoralis	652	USNM:Birds:620356	2
JQ174921		01-Dec-1994	Myanmar: Sagaing			Garrulax pectoralis	652	USNM:Birds:616215	2
JQ174920		07-Mar-2001	Myanmar: Kachin		27.611 N 97.898 E	Garrulax nuchalis	652	USNM:Birds:631870	2
JQ174919		02-Dec-1994	Myanmar: Sagaing			Garrulax monileger	652	USNM:Birds:620382	2
JQ174918		01-Dec-1994	Myanmar: Sagaing			Garrulax monileger	652	USNM:Birds:620363	2
JQ174917		15-Apr-1995	Myanmar: Chin			Garrulax leucolophus	652	USNM:Birds:620523	2
JQ174900		25-Aug-1986	Brazil: Para		3.65 S 52.367 W	Galbula ruficauda	651	USNM:Birds:572525	2
JQ174899		06-Aug-2004	Guyana: Upper Takutu-Upper Essequibo		3.883 N 59.583 W	Galbula ruficauda	652	USNM:Birds:632667	2
JQ174898		18-Jan-2001	Guyana		5.517 N 60.733 W	Galbula leucogastra	652	USNM:Birds:627173	2
JQ174896		27-Nov-2004	Guyana		5.95 N 58.25 W	Galbula leucogastra	652	USNM:Birds:627108	2
JQ174895		04-Aug-2004	Guyana: Upper Takutu-Upper Essequibo		3.883 N 59.583 W	Galbula galbula	652	USNM:Birds:632774	2
JQ174894		07-Nov-2000	Guyana		2.817 N 59.817 W	Galbula galbula	652	USNM:Birds:627404	2
JQ174893		03-Nov-2000	Guyana		2.883 N 59.85 W	Galbula galbula	652	USNM:Birds:627340	2
JQ174892		13-Dec-2000	Guyana		6.017 N 58.20 W	Galbula dea	652	USNM:Birds:627078	2
JQ174891		19-Oct-2000	Guyana		6.017 N 58.20 W	Galbula dea	512	USNM:Birds:627374	2
JQ174890		02-Sep-1986	Brazil: Para		3.65 S 52.367 W	Galbula dea	651	USNM:Birds:541356	2
JQ174889		05-Aug-2004	Guyana: Upper Takutu-Upper Essequibo		3.883 N 59.583 W	Furnarius leucopus	652	USNM:Birds:632778	2
JQ174888		02-Aug-2004	Guyana: Upper Takutu-Upper Essequibo		3.883 N 59.583 W	Furnarius leucopus	652	USNM:Birds:632830	3
JQ174887		01-Aug-2004	Guyana: Upper Takutu-Upper Essequibo		3.883 N 59.583 W	Furnarius leucopus	652	USNM:Birds:632709	2
JQ174886		20-Sep-1986	Brazil: Para		3.65 S 52.367 W	Furnarius figulus	652	USNM:Birds:562254	2
JQ174885		10-Aug-2005	Iceland		64.033 N 22.567 W	Fulmarus glacialis	652	USNM:Birds:623298	2
JQ174878		21-Feb-1992	Argentina: Buenos Aires			Fulica leucoptera	652	USNM:Birds:614596	2
JQ174877		18-Mar-1991	Pacific Ocean		2.00 S 140.00 W	Fregetta grallaria	652	USNM:Birds:613926	2
JQ174876		18-Mar-1991	Pacific Ocean		2.00 S 140.00 W	Fregetta grallaria	652	USNM:Birds:613924	2
JQ174875		18-Mar-1991	Pacific Ocean		5.00 S 140.00 W	Fregetta grallaria	652	USNM:Birds:613928	2
JQ174874		10-Apr-1991	Pacific Ocean		5.00 S 110.00 W	Fregetta grallaria	652	USNM:Birds:615151	2
JQ174873		10-Apr-1991	Pacific Ocean		2.00 S 110.00 W	Fregetta grallaria	652	USNM:Birds:615152	2
JQ174872		18-Mar-1991	Pacific Ocean		2.00 S 140.00 W	Fregetta grallaria	652	USNM:Birds:613925	2
JQ174871		04-Jul-2002	Johnston Atoll			Fregata minor	652	USNM:Birds:632020	2
JQ174870		12-Mar-2003	Johnston Atoll			Fregata minor	652	USNM:Birds:632019	2
JQ174869		28-Aug-1991	Pacific Ocean		5.00 S 140.00 W	Fregata minor	652	USNM:Birds:614219	2
JQ174868		15-Apr-1990	Panama: Bocas Del Toro			Fregata magnificens	652	USNM:Birds:613348	2
JQ174865		10-Oct-2002	Gabon: Ogooue-Maritime		2.343 S 9.596 E	Fraseria cinerascens	652	USNM:Birds:630898	2
JQ174674		06-Jun-2003	USA: Virginia		38.583 N 79.637 W	Setophaga fusca	651	USNM:Birds:634199	2
JQ174673		30-May-2001	USA: Virginia		36.714 N 83.16 W	Setophaga dominica	652	USNM:Birds:633843	2
JQ174672		30-May-2001	USA: Virginia		36.795 N 82.928 W	Setophaga dominica	652	USNM:Birds:633955	2
JQ174671		04-Jun-2003	USA: Virginia		38.963 N 78.007 W	Setophaga cerulea	652	USNM:Birds:634211	2
JQ174670		05-Jun-2002	USA: Virginia		38.962 N 78.007 W	Setophaga cerulea	651	USNM:Birds:623320	2
JQ174667		11-May-2006	Greece: Lesvos		39.129 N 26.219 E	Leiopicus medius	652	USNM:Birds:637370	2
JQ174663		09-May-1989	Philippines: Luzon		17.833 N 122.017 E	Dendrocopos maculatus	652	USNM:Birds:607368	2
JQ174662		19-Oct-2004	South Korea: Kyonggi-do		37.054 N 127.03 E	Picoides kizuki	652	USNM:Birds:633364	2
JQ174661		18-Oct-2004	South Korea: Kyonggi-do		37.054 N 127.03 E	Picoides kizuki	652	USNM:Birds:633353	2
JQ174642		08-Nov-1994	Guyana: Essequibo		5.50 N 60.783 W	Deconychura longicauda	652	USNM:Birds:609143	2
JQ174641		12-Mar-1999	Guyana		1.583 N 58.633 W	Daptrius ater	652	USNM:Birds:625345	2
JQ174639		08-Sep-1998	Guyana		1.383 N 58.933 W	Dacnis lineata	641	USNM:Birds:625301	2
JQ174638		06-Feb-1989	Panama: Bocas Del Toro			Dacnis cayana	648	USNM:Birds:607048	2
JQ174637		10-Feb-2001	Guyana		5.20 N 57.283 W	Dacnis cayana	639	USNM:Birds:627205	2
JQ174636		28-Apr-1990	Panama: Bocas Del Toro		9.083 N 81.85 W	Dacnis cayana	645	USNM:Birds:607973	2
JQ174635		14-Feb-2007	Guyana: Cuyuni-Mazaruni		5.984 N 61.045 W	Cypseloides phelpsi	645	USNM:Birds:639267	2
JQ174634		18-Apr-2001	Guyana		5.517 N 60.733 W	Cypseloides phelpsi	652	USNM:Birds:622775	2
JQ174632		25-Jul-2004	Guyana		4.933 N 59.883 W	Cypseloides cryptus	652	USNM:Birds:632329	2
JQ174631		23-Feb-1989	Panama: Bocas Del Toro			Cyphorhinus phaeocephalus	652	USNM:Birds:612425	2
JQ174622		20-Feb-1989	Panama: Bocas Del Toro			Cymbilaimus lineatus	652	USNM:Birds:612365	2
JQ174621		08-Aug-2006	Guyana: Upper Takutu-Upper Essequibo		2.971 N 58.594 W	Cymbilaimus lineatus	652	USNM:Birds:637094	2
JQ174620		06-Sep-1986	Brazil: Para		3.65 S 52.367 W	Cymbilaimus lineatus	652	USNM:Birds:541625	2
JQ174619		25-Mar-2001	Guyana		5.283 N 60.75 W	Cyclarhis gujanensis	639	USNM:Birds:626846	2
JQ174618		25-Oct-2005	Uruguay: Rocha		33.742 S 53.746 W	Cyclarhis gujanensis	652	USNM:Birds:635923	2
JQ174617		25-Oct-2005	Uruguay: Rocha		33.742 S 53.746 W	Cyclarhis gujanensis	652	USNM:Birds:635995	2
JQ174616		04-Oct-2004	South Korea: North Cholla		35.883 N 126.633 E	Cyanoptila cyanomelana	652	USNM:Birds:633242	2
JQ174615		08-Oct-2004	South Korea: North Cholla		35.883 N 126.633 E	Cyanoptila cyanomelana	652	USNM:Birds:633303	2
JQ174614		04-Oct-2002	Gabon: Ogooue-Maritime		2.343 S 9.592 E	Cyanomitra verticalis	624	USNM:Birds:630844	2
JQ174613		03-Oct-2002	Gabon: Ogooue-Maritime		2.343 S 9.592 E	Cyanomitra verticalis	652	USNM:Birds:630830	2
JQ174612		05-Oct-2002	Gabon: Ogooue-Maritime		2.343 S 9.592 E	Cyanomitra verticalis	652	USNM:Birds:630858	2
JQ174611		02-Jun-2006	Gabon: Ogooue-Maritime		1.857 S 9.852 E	Cyanomitra olivacea	646	USNM:Birds:627316	2
JQ174610		31-May-2006	Gabon: Ogooue-Maritime		1.857 S 9.852 E	Cyanomitra olivacea	612	USNM:Birds:627314	2
JQ174609		02-Jun-2006	Gabon: Ogooue-Maritime		1.857 S 9.852 E	Cyanomitra cyanolaema	644	USNM:Birds:616801	2
JQ174417		10-Nov-2000	Guyana		2.817 N 59.817 W	Chiroxiphia pareola	643	USNM:Birds:625897	2
JQ174416		08-Nov-2000	Guyana		2.817 N 59.817 W	Chiroxiphia pareola	643	USNM:Birds:627512	2
JQ174414		11-May-1988	Australia: New South Wales			Chenonetta jubata	652	USNM:Birds:542173	2
JQ174412		14-Oct-2000	Guyana		6.017 N 58.20 W	Chelidoptera tenebrosa	652	USNM:Birds:627361	2
JQ174411		31-Dec-2000	Guyana		5.933 N 58.233 W	Chelidoptera tenebrosa	652	USNM:Birds:627084	2
JQ174410		13-Feb-1992	Argentina: Entre Rios			Chauna torquata	652	USNM:Birds:614546	2
JQ174409		13-Feb-1992	Argentina: Entre Rios			Chauna torquata	652	USNM:Birds:614547	2
JQ174406		05-May-1990	Panama: Chiriqui			Chamaepetes unicolor	652	USNM:Birds:613282	2
JQ174388		09-Mar-1999	Guyana		1.583 N 58.633 W	Chaetura chapmani	652	USNM:Birds:625378	2
JQ174387		10-Nov-2000	Guyana		2.817 N 59.817 W	Chaetura brachyura	571	USNM:Birds:625871	2
JQ174384		28-Apr-1989	Philippines: Luzon		17.917 N 122.033 E	Ceyx melanurus	648	USNM:Birds:607347	2
JQ174383		29-Apr-1989	Philippines: Luzon		17.90 N 122.067 E	Ceyx melanurus	648	USNM:Birds:607348	2
JQ174382		16-Jan-1994	Papua New Guinea: New Ireland		4.50 S 152.933 E	Ceyx lepidus	652	USNM:Birds:608676	2
JQ174381		16-Jan-1994	Papua New Guinea: New Ireland		4.50 S 152.933 E	Ceyx lepidus	652	USNM:Birds:608678	2
JQ174380		29-Apr-1989	Philippines: Luzon		17.917 N 122.033 E	Alcedo cyanopectus	648	USNM:Birds:607345	2
JQ174379		29-Apr-1989	Philippines: Luzon		17.917 N 122.033 E	Alcedo cyanopectus	648	USNM:Birds:613065	2
JQ174377		25-May-1996	Russia: Astrakhan Region		46.20 N 47.367 E	Cettia cetti	652	USNM:Birds:616337	2
JQ174376		30-May-1996	Russia: Astrakhan Region		46.217 N 47.767 E	Cettia cetti	652	USNM:Birds:586164	2
JQ174374		23-Oct-2000	Guyana		6.733 N 58.217 W	Certhiaxis cinnamomeus	649	USNM:Birds:627461	2
JQ174373		17-Nov-2000	Guyana		6.733 N 58.217 W	Certhiaxis cinnamomeus	641	USNM:Birds:627539	2
JQ174366		13-Apr-1994	Panama: Panama			Cercomacra nigricans	652	USNM:Birds:615100	2
JQ174365		15-Sep-1986	Brazil: Para		3.65 S 52.367 W	Cercomacra nigrescens	652	USNM:Birds:572579	2
JQ174364		16-Aug-1986	Brazil: Para			Cercomacra nigrescens	652	USNM:Birds:572577	2
JQ174363		30-Aug-1986	Brazil: Para		3.65 S 52.367 W	Cercomacra nigrescens	652	USNM:Birds:572578	2
JQ174358		10-Aug-2006	Guyana: Upper Takutu-Upper Essequibo		2.971 N 58.594 W	Cercomacra cinerascens	652	USNM:Birds:637106	2
JQ174357		23-Aug-2006	Guyana: Upper Takutu-Upper Essequibo		2.971 N 58.594 W	Cercomacra cinerascens	652	USNM:Birds:637263	2
JQ174356		03-Aug-2004	Guyana: Upper Takutu-Upper Essequibo		3.704 N 59.667 W	Cercomacra carbonaria	652	USNM:Birds:632490	2
JQ174355		03-Aug-2004	Guyana: Upper Takutu-Upper Essequibo		3.704 N 59.667 W	Cercomacra carbonaria	652	USNM:Birds:632492	2
JQ174354		23-Aug-1986	Brazil: Para		3.65 S 52.367 W	Cephalopterus ornatus	652	USNM:Birds:572608	2
JQ174353		15-Aug-1986	Brazil: Para			Cephalopterus ornatus	652	USNM:Birds:572607	2
JQ174162		18-Mar-2002	Guyana		8.25 N 59.733 W	Basileuterus rivularis	652	USNM:Birds:627730	2
JQ174156		04-Nov-2000	Guyana		2.817 N 59.817 W	Basileuterus flaveolus	641	USNM:Birds:627486	2
