accession	collection_date	country	lat_lon	scientific_name	specimen_voucher	sequence_length	trace_count
JQ176407	27-Nov-1994	Myanmar: Sagaing		Tephrodornis pondicerianus	USNM:Birds:620325	652	2
JQ176406	27-Nov-1994	Myanmar: Sagaing		Tephrodornis pondicerianus	USNM:Birds:620326	652	2
JQ176405	28-Nov-1997	Myanmar: Sagaing		Tephrodornis pondicerianus	USNM:Birds:616417	652	2
JQ176404	27-Apr-1995	Myanmar: Chin		Luscinia chrysaea	USNM:Birds:620622	652	2
JQ176403	07-Apr-2001	Guyana	5.267 N 60.733 W	Tangara xanthogastra	USNM:Birds:626862	652	2
JQ176402	03-Apr-2001	Guyana	5.267 N 60.733 W	Tangara xanthogastra	USNM:Birds:626662	652	2
JQ176401	30-Mar-2001	Guyana	5.267 N 60.733 W	Tangara xanthogastra	USNM:Birds:626794	639	2
JQ176400	10-Apr-2001	Guyana	5.267 N 60.733 W	Tangara xanthogastra	USNM:Birds:626833	652	2
JQ176398	12-Sep-1997	Guyana: Northwest District	7.367 N 60.483 W	Tangara velia	USNM:Birds:616407	652	2
JQ176207	15-Apr-1995	Myanmar: Chin		Seicercus burkii	USNM:Birds:609270	652	2
JQ176204	26-Jul-2004	Guyana	4.965 N 59.914 W	Sclerurus rufigularis	USNM:Birds:632761	652	2
JQ176203	05-Feb-1989	Panama: Bocas Del Toro	9.233 N 82.267 W	Sclerurus guatemalensis	USNM:Birds:606857	648	2
JQ176202	05-Feb-1989	Panama: Bocas Del Toro	9.233 N 82.267 W	Sclerurus guatemalensis	USNM:Birds:606856	652	2
JQ176201	06-Sep-1998	Guyana	1.383 N 58.933 W	Sclerurus caudacutus	USNM:Birds:625171	652	2
JQ176199	04-Sep-1986	Brazil: Para	3.65 S 52.367 W	Sclerurus caudacutus	USNM:Birds:572557	652	2
JQ176198	16-Mar-1999	Guyana	1.583 N 58.567 W	Sclerurus caudacutus	USNM:Birds:625462	652	2
JQ176197	23-Mar-2002	Guyana	8.25 N 59.733 W	Sclateria naevia	USNM:Birds:627591	652	2
JQ176196	24-Mar-2002	Guyana	8.25 N 59.733 W	Sclateria naevia	USNM:Birds:627733	652	2
JQ176195	22-Mar-2002	Guyana	8.25 N 59.733 W	Sclateria naevia	USNM:Birds:627587	652	2
JQ176194	22-Oct-1995	Argentina: Corrientes	28.055 S 58.808 W	Schoeniophylax phryganophilus	USNM:Birds:609534	652	2
JQ176176	15-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Sarcoramphus papa	USNM:Birds:637229	652	2
JQ176175	13-Oct-1995	Argentina: Corrientes	27.842 S 58.812 W	Saltator similis	USNM:Birds:616280	652	2
JQ176174	21-Feb-1989	Panama: Bocas Del Toro		Saltator maximus	USNM:Birds:607152	638	2
JQ176172	20-Mar-2002	Guyana	8.25 N 59.733 W	Saltator maximus	USNM:Birds:627581	652	2
JQ176171	05-Dec-2004	Guyana	6.40 N 58.767 W	Saltator grossus	USNM:Birds:627073	552	2
JQ176169	20-Apr-1990	Panama: Bocas Del Toro		Saltator grossus	USNM:Birds:607977	645	2
JQ176167	04-Sep-1986	Brazil: Para	3.65 S 52.367 W	Sakesphorus luctuosus	USNM:Birds:562276	652	2
JQ176166	03-Sep-1986	Brazil: Para		Sakesphorus luctuosus	USNM:Birds:572558	652	2
JQ176165	02-Nov-2000	Guyana	2.817 N 59.817 W	Sakesphorus canadensis	USNM:Birds:627542	650	2
JQ176164	11-Nov-2000	Guyana	2.817 N 59.817 W	Sakesphorus canadensis	USNM:Birds:627423	652	2
JQ176163	10-Nov-2000	Guyana	2.817 N 59.817 W	Sakesphorus canadensis	USNM:Birds:625884	652	2
JQ176162	25-Mar-2001	Guyana	5.283 N 60.75 W	Rupicola rupicola	USNM:Birds:626887	652	2
JQ176155	04-Apr-2001	Guyana	5.267 N 60.733 W	Roraimia adusta	USNM:Birds:626664	652	2
JQ176154	04-Apr-2001	Guyana	5.267 N 60.733 W	Roraimia adusta	USNM:Birds:616732	652	2
JQ176153	29-Mar-2001	Guyana	5.267 N 60.733 W	Roraimia adusta	USNM:Birds:622754	652	2
JQ176152	09-Apr-2001	Guyana	5.267 N 60.733 W	Roraimia adusta	USNM:Birds:626829	652	2
JQ176151	31-Mar-2001	Guyana	5.267 N 60.733 W	Roraimia adusta	USNM:Birds:626796	652	2
JQ176150	24-Feb-1992	Argentina: Buenos Aires		Rollandia rolland	USNM:Birds:614512	652	2
JQ176149	21-Feb-1992	Argentina: Buenos Aires		Rollandia rolland	USNM:Birds:614508	652	2
JQ176148	16-Feb-2001	Myanmar: Kachin	27.684 N 97.897 E	Rimator malacoptilus	USNM:Birds:631819	652	2
JQ176147	16-Feb-2001	Myanmar: Kachin	27.684 N 97.897 E	Rimator malacoptilus	USNM:Birds:631820	652	2
JQ176146	19-Dec-2000	Guyana	5.933 N 58.233 W	Rhytipterna simplex	USNM:Birds:626732	652	2
JQ176143	19-Sep-1998	Guyana	1.65 N 58.617 W	Rhytipterna immunda	USNM:Birds:625235	652	2
JQ176142	07-May-1990	Panama: Chiriqui		Rhytipterna holerythra	USNM:Birds:542844	652	2
JQ175951	15-Apr-1995	Myanmar: Chin		Erythrogenys erythrogenys	USNM:Birds:620524	652	2
JQ175949	14-Jan-2001	Guyana	5.517 N 60.733 W	Polytmus theresiae	USNM:Birds:627160	652	2
JQ175948	13-Jan-2001	Guyana	5.517 N 60.733 W	Polytmus theresiae	USNM:Birds:626735	652	2
JQ175945	01-Jan-2001	Australia		Polytelis alexandrae	USNM:Birds:616184	652	2
JQ175942	09-Nov-2000	Guyana	2.817 N 59.817 W	Polioptila plumbea	USNM:Birds:627416	651	2
JQ175941	07-Nov-2000	Guyana	2.817 N 59.817 W	Polioptila plumbea	USNM:Birds:627406	619	2
JQ175940	21-Apr-1990	Panama: Bocas Del Toro		Polioptila plumbea	USNM:Birds:607890	645	2
JQ175939	11-Feb-1989	Panama: Bocas Del Toro		Polioptila plumbea	USNM:Birds:607027	652	2
JQ175938	25-Mar-2001	Guyana	5.283 N 60.75 W	Phylloscartes chapmani	USNM:Birds:626637	639	2
JQ175921	21-Aug-2001	USA: Washington	46.986 N 120.837 W	Poecile gambeli	USNM:Birds:630607	652	2
JQ175920	03-Jun-1997	Mongolia: Bayanhongor	44.104 N 100.925 E	Podoces hendersoni	USNM:Birds:621506	645	2
JQ175919	29-Feb-1992	Argentina: Buenos Aires		Podiceps major	USNM:Birds:614513	652	2
JQ175918	26-Sep-1989	Australia: Queensland		Podargus strigoides	USNM:Birds:612705	652	2
JQ175917	01-Jan-2001	Australia: Queensland		Podargus strigoides	USNM:Birds:620231	652	2
JQ175916	21-Sep-2002	Uruguay: Maldonado	34.738 S 55.073 W	Podager nacunda	USNM:Birds:630313	652	2
JQ175915	03-Nov-2005	Uruguay: Artigas	30.826 S 56.128 W	Podager nacunda	USNM:Birds:636061	652	2
JQ175914	21-Feb-2001	Myanmar: Kachin	28.044 N 97.57 E	Pnoepyga pusilla	USNM:Birds:631838	652	2
JQ175913	28-Apr-1995	Myanmar: Chin		Pnoepyga albiventer	USNM:Birds:620629	652	2
JQ175912	27-Apr-1995	Myanmar: Chin		Pnoepyga albiventer	USNM:Birds:620614	652	2
JQ175911	10-Oct-2002	Gabon: Ogooue-Maritime	2.343 S 9.596 E	Ploceus nigricollis	USNM:Birds:630900	652	2
JQ175910	06-Oct-2002	Gabon: Ogooue-Maritime	2.343 S 9.592 E	Ploceus nigricollis	USNM:Birds:630871	652	2
JQ175909	12-Oct-2002	Gabon: Ogooue-Maritime	2.343 S 9.596 E	Ploceus nigricollis	USNM:Birds:627700	652	2
JQ175908	10-Oct-2002	Gabon: Ogooue-Maritime	2.343 S 9.596 E	Ploceus nigerrimus	USNM:Birds:630901	652	2
JQ175907	11-Oct-2002	Gabon: Ogooue-Maritime	2.343 S 9.596 E	Ploceus nigerrimus	USNM:Birds:630914	652	2
JQ175906	11-Mar-2006	Gabon: Ogooue-Maritime	1.936 S 9.881 E	Dyaphorophyia tonsa	USNM:Birds:616715	651	2
JQ175897	22-Mar-1999	Guyana	1.583 N 58.633 W	Platyrinchus platyrhynchos	USNM:Birds:625610	652	2
JQ175896	15-Aug-1986	Brazil: Para	3.65 S 52.367 W	Platyrinchus platyrhynchos	USNM:Birds:562367	652	2
JQ175895	12-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Platyrinchus platyrhynchos	USNM:Birds:637217	652	2
JQ175894	13-Mar-1987	Panama: Bocas Del Toro		Platyrinchus cancrominus	USNM:Birds:605371	652	2
JQ175893	26-Feb-1988	Panama: Bocas Del Toro		Platyrinchus cancrominus	USNM:Birds:606330	652	2
JQ175892	08-Apr-1990	Panama: Bocas Del Toro		Platyrinchus cancrominus	USNM:Birds:607838	618	2
JQ175891	26-Jul-2004	Guyana	4.965 N 59.914 W	Turdus flavipes	USNM:Birds:632762	652	2
JQ175890	24-Jul-2004	Guyana	4.965 N 59.914 W	Turdus flavipes	USNM:Birds:632756	652	2
JQ175889	11-May-1988	Australia: New South Wales		Platycercus eximius	USNM:Birds:542176	652	2
JQ175888	23-Nov-1988	Australia: New South Wales		Platycercus elegans	USNM:Birds:612685	652	2
JQ175887	11-May-1988	Australia: New South Wales		Platycercus elegans	USNM:Birds:542175	649	2
JQ175886	27-Jun-1989	Australia: Queensland		Platycercus adscitus	USNM:Birds:612686	652	2
JQ175694	04-Feb-1989	Panama: Bocas Del Toro		Patagioenas nigrirostris	USNM:Birds:612277	652	2
JQ175693	04-Feb-1989	Panama: Bocas Del Toro		Patagioenas nigrirostris	USNM:Birds:606733	652	2
JQ175692	03-Sep-2002	Uruguay: Soriano	33.783 S 57.333 W	Patagioenas maculosa	USNM:Birds:630359	629	2
JQ175691	07-Nov-2005	Uruguay: Artigas		Patagioenas maculosa	USNM:Birds:635982	652	2
JQ175690	30-Mar-1990	Panama: Bocas Del Toro		Patagioenas leucocephala	USNM:Birds:613363	652	2
JQ175689	30-Mar-1990	Panama: Bocas Del Toro		Patagioenas leucocephala	USNM:Birds:607651	652	2
JQ175688	24-Jun-1988	Puerto Rico		Patagioenas inornata	USNM:Birds:582879	652	2
JQ175687	15-Mar-2000	Guyana	6.567 N 58.083 W	Patagioenas cayennensis	USNM:Birds:622319	652	2
JQ175686	05-Feb-2001	Guyana	5.20 N 57.283 W	Patagioenas cayennensis	USNM:Birds:627051	639	2
JQ175665	04-May-1990	Panama: Chiriqui		Panterpe insignis	USNM:Birds:613296	652	2
JQ175664	26-Oct-2005	Uruguay: Rocha	33.742 S 53.746 W	Pachyramphus viridis	USNM:Birds:635932	652	2
JQ175661	24-Mar-1999	Guyana	1.65 N 58.617 W	Pachyramphus rufus	USNM:Birds:616553	652	2
JQ175660	11-Dec-2000	Guyana	6.80 N 58.483 W	Pachyramphus rufus	USNM:Birds:626694	652	2
JQ175658	22-Feb-1988	Panama: Bocas Del Toro		Pachyramphus polychopterus	USNM:Birds:606234	652	2
JQ175657	15-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Pachyramphus minor	USNM:Birds:637137	652	2
JQ175655	05-Dec-2004	Guyana	6.40 N 58.767 W	Pachyramphus minor	USNM:Birds:627125	652	2
JQ175654	21-Sep-1997	Guyana: Northwest District	7.367 N 60.483 W	Pachyramphus marginatus	USNM:Birds:586433	652	2
JQ175653	24-Feb-1999	Guyana	6.023 N 58.20 W	Pachyramphus marginatus	USNM:Birds:625550	652	2
JQ175652	12-Feb-2001	Guyana	5.20 N 57.283 W	Pachyramphus marginatus	USNM:Birds:626761	639	2
JQ175650	29-Apr-1989	Philippines: Luzon	17.917 N 122.033 E	Pachycephala philippinensis	USNM:Birds:607511	649	2
JQ175643	09-Nov-2000	Guyana	2.817 N 59.817 W	Oryzoborus crassirostris	USNM:Birds:616784	649	2
JQ175642	04-Nov-2000	Guyana	2.817 N 59.817 W	Oryzoborus crassirostris	USNM:Birds:627489	641	2
JQ175641	08-Apr-2001	Guyana	5.267 N 60.733 W	Oryzoborus angolensis	USNM:Birds:626824	652	2
JQ175640	05-Dec-1994	Myanmar: Sagaing		Orthotomus sutorius	USNM:Birds:620419	652	2
JQ175639	29-Nov-1997	Myanmar: Sagaing		Orthotomus sutorius	USNM:Birds:586584	652	2
JQ175638	01-Dec-1997	Myanmar: Sagaing		Orthotomus sutorius	USNM:Birds:616429	652	2
JQ175637	28-Feb-2001	Myanmar: Kachin	28.044 N 97.57 E	Orthotomus cucullatus	USNM:Birds:631854	652	2
JQ175636	28-Apr-1989	Philippines: Luzon	17.917 N 122.033 E	Orthotomus atrogularis	USNM:Birds:607481	648	2
JQ175635	28-Apr-1989	Philippines: Luzon	17.917 N 122.033 E	Orthotomus atrogularis	USNM:Birds:607480	648	2
JQ175634	06-May-1989	Philippines: Luzon	17.85 N 121.983 E	Orthotomus atrogularis	USNM:Birds:607476	648	2
JQ175633	28-Jul-1989	Saint Vincent and the Grenadines: St. Andrew Parish		Orthorhyncus cristatus	USNM:Birds:612557	652	2
JQ175632	07-Aug-1989	Saint Vincent and the Grenadines: St. George Parish		Orthorhyncus cristatus	USNM:Birds:612556	652	2
JQ175631	01-Mar-1999	Guyana	1.65 N 58.617 W	Orthopsittaca manilata	USNM:Birds:625357	652	2
JQ175439	06-Apr-2001	Guyana	5.267 N 60.733 W	Myioborus miniatus	USNM:Birds:626924	652	2
JQ175438	07-Apr-2001	Guyana	5.267 N 60.733 W	Myioborus brunniceps	USNM:Birds:626863	652	2
JQ175437	05-May-1990	Panama: Chiriqui		Myiobius sulphureipygius	USNM:Birds:607592	652	2
JQ175436	09-May-1990	Panama: Chiriqui		Myiobius sulphureipygius	USNM:Birds:542846	645	2
JQ175435	21-Feb-1989	Panama: Bocas Del Toro		Myiobius atricaudus	USNM:Birds:612408	652	2
JQ175433	16-Jul-2004	Guyana	4.933 N 59.883 W	Myiarchus ferox	USNM:Birds:632628	652	2
JQ175432	11-Dec-2000	Guyana	6.80 N 58.483 W	Myiarchus ferox	USNM:Birds:627757	652	2
JQ175430	16-Jan-1994	Papua New Guinea: New Ireland	4.50 S 152.933 E	Myiagra hebetior	USNM:Birds:616050	652	2
JQ175429	16-Jan-1994	Papua New Guinea: New Ireland	4.50 S 152.933 E	Myiagra hebetior	USNM:Birds:615034	652	2
JQ175428	16-Jan-1994	Papua New Guinea: New Ireland	4.50 S 152.933 E	Myiagra hebetior	USNM:Birds:608684	652	2
JQ175410	06-Nov-2000	Guyana	2.817 N 59.817 W	Monasa atra	USNM:Birds:627398	651	2
JQ175409	05-Dec-2004	Guyana	6.40 N 58.767 W	Monasa atra	USNM:Birds:627072	652	2
JQ175408	16-Jan-1994	Papua New Guinea: New Ireland	4.50 S 152.933 E	Symposiachrus verticalis	USNM:Birds:615038	652	2
JQ175407	16-Jan-1994	Papua New Guinea: New Ireland	4.50 S 152.933 E	Symposiachrus verticalis	USNM:Birds:615037	652	2
JQ175406	10-Feb-1994	Papua New Guinea: New Ireland	4.55 S 152.95 E	Carterornis chrysomela	USNM:Birds:615040	652	2
JQ175405	19-Sep-2002	Uruguay: Colonia	33.887 S 58.184 W	Molothrus rufoaxillaris	USNM:Birds:630341	652	2
JQ175404	17-Sep-2002	Uruguay: Colonia	33.913 S 58.106 W	Molothrus rufoaxillaris	USNM:Birds:630214	652	2
JQ175403	24-Mar-1999	Guyana	1.65 N 58.617 W	Molothrus oryzivorus	USNM:Birds:587829	652	2
JQ175402	24-Mar-1999	Guyana	1.65 N 58.617 W	Molothrus oryzivorus	USNM:Birds:625747	651	2
JQ175401	15-Feb-1989	Panama: Bocas Del Toro	9.233 N 82.267 W	Molothrus oryzivorus	USNM:Birds:612444	652	2
JQ175400	24-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	3.58 N 58.663 W	Mitu tomentosum	USNM:Birds:637177	652	2
JQ175399	22-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Mitu tomentosum	USNM:Birds:637254	652	2
JQ175398	22-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Mitu tomentosum	USNM:Birds:637167	621	2
JQ175397	07-Mar-1991	Panama: Bocas Del Toro		Mitrospingus cassinii	USNM:Birds:608230	652	2
JQ175390	01-Jan-2001	Panama: Chiriqui		Mionectes olivaceus	USNM:Birds:542845	645	2
JQ175389	28-Jun-1998	USA: Virginia		Mimus polyglottos	USNM:Birds:600801	652	2
JQ175388	05-Oct-2000	Guyana	6.30 N 58.217 W	Mimus gilvus	USNM:Birds:625904	652	2
JQ175386	10-Dec-2000	Guyana	6.30 N 58.217 W	Mimus gilvus	USNM:Birds:627126	634	2
JQ175385	07-May-2002	Northern Mariana Islands	16.337 N 145.664 E	Milvus migrans	USNM:Birds:601887	651	2
JQ175384	18-Dec-2002	Pakistan	28.282 N 66.451 E	Milvus migrans	USNM:Birds:623327	651	2
JQ175383	28-Oct-2005	Uruguay: Rocha	33.23 S 53.72 W	Milvago chimango	USNM:Birds:635742	652	2
JQ175382	06-Nov-2005	Uruguay: Artigas	30.132 S 57.038 W	Milvago chimango	USNM:Birds:635870	652	2
JQ175381	25-Feb-1992	Argentina: Buenos Aires		Milvago chimango	USNM:Birds:614585	652	2
JQ175380	07-Nov-2005	Uruguay: Artigas		Milvago chimango	USNM:Birds:635768	652	2
JQ175378	23-Feb-1988	Panama: Bocas Del Toro		Microrhopias quixensis	USNM:Birds:606233	652	2
JQ175377	18-Apr-1990	Panama: Bocas Del Toro		Microrhopias quixensis	USNM:Birds:607754	645	2
JQ175186	25-Sep-1986	Brazil: Para	3.65 S 52.367 W	Knipolegus orenocensis	USNM:Birds:562356	652	2
JQ175185	13-Sep-2002	Uruguay: Tacuarembo	31.299 S 56.029 W	Knipolegus lophotes	USNM:Birds:630417	652	2
JQ175183	04-Nov-2005	Uruguay: Artigas	30.81 S 56.096 W	Knipolegus lophotes	USNM:Birds:635861	652	2
JQ175182	13-Sep-2002	Uruguay: Tacuarembo	31.309 S 56.038 W	Knipolegus cyanirostris	USNM:Birds:630514	652	2
JQ175181	31-Oct-2005	Uruguay: Rivera	31.761 S 54.555 W	Knipolegus cyanirostris	USNM:Birds:636110	652	2
JQ175180	04-Feb-1989	Panama: Bocas Del Toro		Jacana spinosa	USNM:Birds:606725	652	2
JQ175179	09-Mar-1991	Panama: Bocas Del Toro		Jacana spinosa	USNM:Birds:613969	652	2
JQ175176	11-Aug-2006	Guyana: Upper Takutu-Upper Essequibo	2.971 N 58.594 W	Jacamerops aureus	USNM:Birds:637205	652	2
JQ175175	20-Sep-1986	Brazil: Para	3.65 S 52.367 W	Jacamerops aureus	USNM:Birds:541357	652	2
JQ175174	14-Apr-2000	Guyana	2.867 N 59.267 W	Jabiru mycteria	USNM:Birds:622295	652	2
JQ175173	19-Apr-1995	Myanmar: Chin		Ixos mcclellandii	USNM:Birds:620558	652	2
JQ175155	30-Sep-2002	Gabon: Ogooue-Maritime	2.34 S 9.598 E	Indicator maculatus	USNM:Birds:630811	652	2
JQ175154	11-Oct-2002	Gabon: Ogooue-Maritime	2.343 S 9.596 E	Indicator exilis	USNM:Birds:630916	652	2
JQ175152	13-Apr-2007	Gabon: Ogooue-Maritime	2.587 S 10.234 E	Illadopsis rufipennis	USNM:Birds:631619	652	2
JQ175151	01-Apr-2007	Gabon: Ogooue-Maritime	2.587 S 10.234 E	Illadopsis rufipennis	USNM:Birds:631542	652	2
JQ175150	01-Apr-2007	Gabon: Ogooue-Maritime	2.587 S 10.234 E	Illadopsis cleaveri	USNM:Birds:631532	652	2
JQ175149	01-Apr-2007	Gabon: Ogooue-Maritime	2.587 S 10.234 E	Illadopsis cleaveri	USNM:Birds:631543	652	2
JQ175147	07-Apr-1990	Panama: Bocas Del Toro		Ictinia plumbea	USNM:Birds:607638	646	2
JQ175146	20-Oct-2000	Guyana	6.683 N 57.933 W	Icterus nigrogularis	USNM:Birds:627377	647	2
JQ175145	26-Nov-2004	Guyana	6.517 N 57.733 W	Icterus nigrogularis	USNM:Birds:627066	652	2
JQ175144	17-Oct-2000	Guyana	6.517 N 57.733 W	Icterus nigrogularis	USNM:Birds:627455	649	2
JQ175143	13-Feb-1989	Panama: Bocas Del Toro		Icterus mesomelas	USNM:Birds:607085	652	2
JQ175142	18-Apr-1990	Panama: Bocas Del Toro		Icterus mesomelas	USNM:Birds:608015	652	2
JQ175134	31-May-2001	USA: Virginia	36.629 N 83.088 W	Icteria virens	USNM:Birds:633928	652	2
JQ175133	19-Jul-2004	Guyana	4.933 N 59.883 W	Daptrius americanus	USNM:Birds:632550	652	2
JQ175131	25-Mar-2001	Guyana	5.283 N 60.75 W	Daptrius americanus	USNM:Birds:626781	642	2
JQ175130	16-Sep-1986	Brazil: Para	3.65 S 52.367 W	Daptrius americanus	USNM:Birds:541311	652	2
JQ175129	10-May-1989	Philippines: Luzon	17.85 N 121.983 E	Ixos philippinus	USNM:Birds:607421	648	2
JQ175128	30-Apr-1989	Philippines: Luzon	17.917 N 122.033 E	Ixos philippinus	USNM:Birds:607417	620	2
JQ175127	05-May-1989	Philippines: Luzon	17.85 N 121.983 E	Ixos philippinus	USNM:Birds:607426	648	2
JQ175126	15-Apr-1995	Myanmar: Chin		Hypsipetes madagascariensis	USNM:Birds:620522	652	2
JQ175125	07-May-1989	Philippines: Luzon	17.833 N 122.017 E	Hypothymis helenae	USNM:Birds:607489	652	2
JQ175124	21-Nov-1994	Myanmar: Pegu		Hypothymis azurea	USNM:Birds:620290	652	2
JQ175123	05-Dec-1994	Myanmar: Sagaing		Hypothymis azurea	USNM:Birds:620437	652	2
JQ175122	28-Apr-1989	Philippines: Luzon	17.917 N 122.033 E	Hypothymis azurea	USNM:Birds:607502	619	2
JQ175121	28-Nov-1997	Myanmar: Sagaing		Hypothymis azurea	USNM:Birds:616431	652	2
JQ174930	07-Oct-1995	Argentina: Tucuman	26.738 S 65.768 W	Geositta tenuirostris	USNM:Birds:609497	652	2
JQ174929	25-Oct-2005	Uruguay: Rocha	33.80 S 53.433 W	Geositta cunicularia	USNM:Birds:635809	652	2
JQ174928	17-Nov-1988	Australia: New South Wales		Ocyphaps lophotes	USNM:Birds:612635	652	2
JQ174927	17-Nov-1988	Australia: New South Wales		Ocyphaps lophotes	USNM:Birds:612634	652	2
JQ174926	18-Apr-1995	Myanmar: Chin		Garrulax virgatus	USNM:Birds:620536	652	2
JQ174925	25-Feb-2001	Myanmar: Kachin	28.168 N 97.68 E	Garrulax subunicolor	USNM:Birds:631851	652	2
JQ174924	18-Feb-2001	Myanmar: Kachin	27.832 N 97.763 E	Garrulax striatus	USNM:Birds:631831	652	2
JQ174922	01-Dec-1994	Myanmar: Sagaing		Garrulax pectoralis	USNM:Birds:620356	652	2
JQ174921	01-Dec-1994	Myanmar: Sagaing		Garrulax pectoralis	USNM:Birds:616215	652	2
JQ174920	07-Mar-2001	Myanmar: Kachin	27.611 N 97.898 E	Garrulax nuchalis	USNM:Birds:631870	652	2
JQ174919	02-Dec-1994	Myanmar: Sagaing		Garrulax monileger	USNM:Birds:620382	652	2
JQ174918	01-Dec-1994	Myanmar: Sagaing		Garrulax monileger	USNM:Birds:620363	652	2
JQ174917	15-Apr-1995	Myanmar: Chin		Garrulax leucolophus	USNM:Birds:620523	652	2
JQ174900	25-Aug-1986	Brazil: Para	3.65 S 52.367 W	Galbula ruficauda	USNM:Birds:572525	651	2
JQ174899	06-Aug-2004	Guyana: Upper Takutu-Upper Essequibo	3.883 N 59.583 W	Galbula ruficauda	USNM:Birds:632667	652	2
JQ174898	18-Jan-2001	Guyana	5.517 N 60.733 W	Galbula leucogastra	USNM:Birds:627173	652	2
JQ174896	27-Nov-2004	Guyana	5.95 N 58.25 W	Galbula leucogastra	USNM:Birds:627108	652	2
JQ174895	04-Aug-2004	Guyana: Upper Takutu-Upper Essequibo	3.883 N 59.583 W	Galbula galbula	USNM:Birds:632774	652	2
JQ174894	07-Nov-2000	Guyana	2.817 N 59.817 W	Galbula galbula	USNM:Birds:627404	652	2
JQ174893	03-Nov-2000	Guyana	2.883 N 59.85 W	Galbula galbula	USNM:Birds:627340	652	2
JQ174892	13-Dec-2000	Guyana	6.017 N 58.20 W	Galbula dea	USNM:Birds:627078	652	2
JQ174891	19-Oct-2000	Guyana	6.017 N 58.20 W	Galbula dea	USNM:Birds:627374	512	2
JQ174890	02-Sep-1986	Brazil: Para	3.65 S 52.367 W	Galbula dea	USNM:Birds:541356	651	2
JQ174889	05-Aug-2004	Guyana: Upper Takutu-Upper Essequibo	3.883 N 59.583 W	Furnarius leucopus	USNM:Birds:632778	652	2
JQ174888	02-Aug-2004	Guyana: Upper Takutu-Upper Essequibo	3.883 N 59.583 W	Furnarius leucopus	USNM:Birds:632830	652	3
JQ174887	01-Aug-2004	Guyana: Upper Takutu-Upper Essequibo	3.883 N 59.583 W	Furnarius leucopus	USNM:Birds:632709	652	2
JQ174886	20-Sep-1986	Brazil: Para	3.65 S 52.367 W	Furnarius figulus	USNM:Birds:562254	652	2
JQ174885	10-Aug-2005	Iceland	64.033 N 22.567 W	Fulmarus glacialis	USNM:Birds:623298	652	2
JQ174878	21-Feb-1992	Argentina: Buenos Aires		Fulica leucoptera	USNM:Birds:614596	652	2
JQ174877	18-Mar-1991	Pacific Ocean	2.00 S 140.00 W	Fregetta grallaria	USNM:Birds:613926	652	2
JQ174876	18-Mar-1991	Pacific Ocean	2.00 S 140.00 W	Fregetta grallaria	USNM:Birds:613924	652	2
JQ174875	18-Mar-1991	Pacific Ocean	5.00 S 140.00 W	Fregetta grallaria	USNM:Birds:613928	652	2
JQ174874	10-Apr-1991	Pacific Ocean	5.00 S 110.00 W	Fregetta grallaria	USNM:Birds:615151	652	2
JQ174873	10-Apr-1991	Pacific Ocean	2.00 S 110.00 W	Fregetta grallaria	USNM:Birds:615152	652	2
JQ174872	18-Mar-1991	Pacific Ocean	2.00 S 140.00 W	Fregetta grallaria	USNM:Birds:613925	652	2
JQ174871	04-Jul-2002	Johnston Atoll		Fregata minor	USNM:Birds:632020	652	2
JQ174870	12-Mar-2003	Johnston Atoll		Fregata minor	USNM:Birds:632019	652	2
JQ174869	28-Aug-1991	Pacific Ocean	5.00 S 140.00 W	Fregata minor	USNM:Birds:614219	652	2
JQ174868	15-Apr-1990	Panama: Bocas Del Toro		Fregata magnificens	USNM:Birds:613348	652	2
JQ174865	10-Oct-2002	Gabon: Ogooue-Maritime	2.343 S 9.596 E	Fraseria cinerascens	USNM:Birds:630898	652	2
JQ174674	06-Jun-2003	USA: Virginia	38.583 N 79.637 W	Setophaga fusca	USNM:Birds:634199	651	2
JQ174673	30-May-2001	USA: Virginia	36.714 N 83.16 W	Setophaga dominica	USNM:Birds:633843	652	2
JQ174672	30-May-2001	USA: Virginia	36.795 N 82.928 W	Setophaga dominica	USNM:Birds:633955	652	2
JQ174671	04-Jun-2003	USA: Virginia	38.963 N 78.007 W	Setophaga cerulea	USNM:Birds:634211	652	2
JQ174670	05-Jun-2002	USA: Virginia	38.962 N 78.007 W	Setophaga cerulea	USNM:Birds:623320	651	2
JQ174667	11-May-2006	Greece: Lesvos	39.129 N 26.219 E	Leiopicus medius	USNM:Birds:637370	652	2
JQ174663	09-May-1989	Philippines: Luzon	17.833 N 122.017 E	Dendrocopos maculatus	USNM:Birds:607368	652	2
JQ174662	19-Oct-2004	South Korea: Kyonggi-do	37.054 N 127.03 E	Picoides kizuki	USNM:Birds:633364	652	2
JQ174661	18-Oct-2004	South Korea: Kyonggi-do	37.054 N 127.03 E	Picoides kizuki	USNM:Birds:633353	652	2
JQ174642	08-Nov-1994	Guyana: Essequibo	5.50 N 60.783 W	Deconychura longicauda	USNM:Birds:609143	652	2
